candidate_id,hired,role,decision_year
SYN-9000,False,Software Engineer,2021
SYN-9001,True,HR Specialist,2023
SYN-9002,True,HR Specialist,2016
SYN-9003,False,Product Manager,2019
SYN-9004,False,Product Manager,2017
SYN-9005,False,Data Analyst,2017
SYN-9006,True,Data Analyst,2022
SYN-9007,False,Product Manager,2019
SYN-9008,True,Marketing Manager,2022
SYN-9009,False,Marketing Manager,2019
SYN-9010,False,Software Engineer,2018
SYN-9011,False,Product Manager,2021
SYN-9012,True,Product Manager,2023
SYN-9013,False,Software Engineer,2023
SYN-9014,False,Marketing Manager,2020
SYN-9015,True,HR Specialist,2018
SYN-9016,False,Marketing Manager,2017
SYN-9017,False,Marketing Manager,2017
SYN-9018,False,Software Engineer,2020
SYN-9019,True,Software Engineer,2018
SYN-9020,False,Data Analyst,2018
SYN-9021,False,Software Engineer,2020
SYN-9022,False,Data Analyst,2020
SYN-9023,True,Product Manager,2016
SYN-9024,False,Product Manager,2018
SYN-9025,False,Software Engineer,2019
SYN-9026,False,Software Engineer,2016
SYN-9027,False,HR Specialist,2017
SYN-9028,False,Software Engineer,2019
SYN-9029,True,HR Specialist,2016
SYN-9030,False,HR Specialist,2019
SYN-9031,True,Product Manager,2020
SYN-9032,False,Data Analyst,2023
SYN-9033,False,Software Engineer,2022
SYN-9034,True,Software Engineer,2022
SYN-9035,False,HR Specialist,2020
SYN-9036,False,Product Manager,2022
SYN-9037,False,Data Analyst,2023
SYN-9038,False,Marketing Manager,2015
SYN-9039,False,HR Specialist,2019
SYN-9040,False,Software Engineer,2015
SYN-9041,False,Software Engineer,2021
SYN-9042,True,Software Engineer,2017
SYN-9043,True,Software Engineer,2016
SYN-9044,True,HR Specialist,2023
SYN-9045,False,Data Analyst,2016
SYN-9046,False,Software Engineer,2022
SYN-9047,False,Marketing Manager,2023
SYN-9048,False,Product Manager,2022
SYN-9049,False,Marketing Manager,2019
SYN-9050,False,Marketing Manager,2017
SYN-9051,False,Product Manager,2019
SYN-9052,False,Product Manager,2023
SYN-9053,True,Software Engineer,2015
SYN-9054,False,Marketing Manager,2016
SYN-9055,False,Data Analyst,2023
SYN-9056,False,Marketing Manager,2022
SYN-9057,True,Product Manager,2015
SYN-9058,True,Data Analyst,2020
SYN-9059,False,Software Engineer,2017
SYN-9060,True,Software Engineer,2022
SYN-9061,False,Product Manager,2017
SYN-9062,True,Data Analyst,2017
SYN-9063,False,Software Engineer,2015
SYN-9064,True,Software Engineer,2023
SYN-9065,False,Product Manager,2016
SYN-9066,True,Software Engineer,2021
SYN-9067,False,Marketing Manager,2019
SYN-9068,False,HR Specialist,2017
SYN-9069,False,Marketing Manager,2022
SYN-9070,True,Software Engineer,2018
SYN-9071,False,Marketing Manager,2017
SYN-9072,False,HR Specialist,2023
SYN-9073,True,HR Specialist,2019
SYN-9074,False,Software Engineer,2022
SYN-9075,True,Product Manager,2019
SYN-9076,False,HR Specialist,2018
SYN-9077,False,HR Specialist,2022
SYN-9078,True,HR Specialist,2016
SYN-9079,False,Product Manager,2019
SYN-9080,False,HR Specialist,2019
SYN-9081,True,HR Specialist,2015
SYN-9082,True,Data Analyst,2018
SYN-9083,True,Product Manager,2018
SYN-9084,True,Marketing Manager,2021
SYN-9085,True,Data Analyst,2018
SYN-9086,True,Software Engineer,2021
SYN-9087,False,HR Specialist,2017
SYN-9088,False,Product Manager,2016
SYN-9089,False,Product Manager,2019
SYN-9090,False,HR Specialist,2020
SYN-9091,True,Marketing Manager,2018
SYN-9092,True,Data Analyst,2023
SYN-9093,True,Data Analyst,2019
SYN-9094,False,Software Engineer,2015
SYN-9095,True,Software Engineer,2016
SYN-9096,True,Product Manager,2018
SYN-9097,False,Software Engineer,2022
SYN-9098,False,Software Engineer,2020
SYN-9099,False,Product Manager,2022
SYN-9100,True,Product Manager,2020
SYN-9101,True,Marketing Manager,2020
SYN-9102,False,Marketing Manager,2020
SYN-9103,False,Marketing Manager,2023
SYN-9104,True,Data Analyst,2017
SYN-9105,False,Software Engineer,2016
SYN-9106,False,Software Engineer,2019
SYN-9107,True,Product Manager,2015
SYN-9108,False,Data Analyst,2022
SYN-9109,False,Marketing Manager,2019
SYN-9110,False,Product Manager,2015
SYN-9111,False,Marketing Manager,2019
SYN-9112,True,Data Analyst,2016
SYN-9113,False,Software Engineer,2019
SYN-9114,True,Software Engineer,2023
SYN-9115,False,Data Analyst,2017
SYN-9116,False,HR Specialist,2019
SYN-9117,False,Product Manager,2018
SYN-9118,True,HR Specialist,2021
SYN-9119,True,Data Analyst,2016
SYN-9120,False,HR Specialist,2017
SYN-9121,False,Data Analyst,2020
SYN-9122,True,Marketing Manager,2020
SYN-9123,False,Marketing Manager,2023
SYN-9124,True,Data Analyst,2018
SYN-9125,True,Data Analyst,2021
SYN-9126,False,Data Analyst,2017
SYN-9127,False,Product Manager,2019
SYN-9128,True,Product Manager,2019
SYN-9129,False,Product Manager,2015
SYN-9130,True,Data Analyst,2022
SYN-9131,False,Data Analyst,2017
SYN-9132,False,Marketing Manager,2016
SYN-9133,True,Data Analyst,2016
SYN-9134,True,Data Analyst,2017
SYN-9135,True,Product Manager,2019
SYN-9136,False,Data Analyst,2019
SYN-9137,True,Data Analyst,2017
SYN-9138,True,Marketing Manager,2018
SYN-9139,False,Product Manager,2022
SYN-9140,True,HR Specialist,2023
SYN-9141,True,Marketing Manager,2020
SYN-9142,False,Product Manager,2020
SYN-9143,False,Marketing Manager,2020
SYN-9144,True,Product Manager,2019
SYN-9145,False,Product Manager,2020
SYN-9146,True,Data Analyst,2017
SYN-9147,True,Software Engineer,2016
SYN-9148,False,Product Manager,2021
SYN-9149,True,Marketing Manager,2015
SYN-9150,True,Marketing Manager,2018
SYN-9151,True,Product Manager,2019
SYN-9152,False,Marketing Manager,2017
SYN-9153,False,HR Specialist,2023
SYN-9154,True,HR Specialist,2015
SYN-9155,True,HR Specialist,2016
SYN-9156,False,HR Specialist,2018
SYN-9157,False,Software Engineer,2017
SYN-9158,False,HR Specialist,2021
SYN-9159,False,Data Analyst,2021
SYN-9160,True,Software Engineer,2018
SYN-9161,True,Data Analyst,2023
SYN-9162,False,Marketing Manager,2015
SYN-9163,False,Data Analyst,2021
SYN-9164,True,Product Manager,2018
SYN-9165,True,Marketing Manager,2022
SYN-9166,False,Software Engineer,2016
SYN-9167,False,Marketing Manager,2022
SYN-9168,True,Software Engineer,2020
SYN-9169,False,Product Manager,2022
SYN-9170,True,Data Analyst,2022
SYN-9171,False,Data Analyst,2019
SYN-9172,False,Data Analyst,2019
SYN-9173,False,Data Analyst,2019
SYN-9174,False,Data Analyst,2018
SYN-9175,False,Marketing Manager,2018
SYN-9176,True,Product Manager,2015
SYN-9177,True,Marketing Manager,2020
SYN-9178,False,Software Engineer,2022
SYN-9179,True,Software Engineer,2019
SYN-9180,False,HR Specialist,2016
SYN-9181,False,HR Specialist,2016
SYN-9182,True,Software Engineer,2015
SYN-9183,False,Product Manager,2020
SYN-9184,False,HR Specialist,2016
SYN-9185,False,Software Engineer,2018
SYN-9186,False,HR Specialist,2021
SYN-9187,False,HR Specialist,2015
SYN-9188,False,HR Specialist,2018
SYN-9189,True,Software Engineer,2019
SYN-9190,True,Data Analyst,2017
SYN-9191,False,Marketing Manager,2017
SYN-9192,True,HR Specialist,2021
SYN-9193,False,Product Manager,2016
SYN-9194,False,Marketing Manager,2016
SYN-9195,False,HR Specialist,2021
SYN-9196,False,Data Analyst,2020
SYN-9197,False,Product Manager,2017
SYN-9198,False,Product Manager,2016
SYN-9199,False,Marketing Manager,2019
SYN-9200,True,Marketing Manager,2016
SYN-9201,False,Product Manager,2023
SYN-9202,True,Marketing Manager,2021
SYN-9203,False,HR Specialist,2016
SYN-9204,False,Software Engineer,2021
SYN-9205,False,Software Engineer,2017
SYN-9206,True,Product Manager,2022
SYN-9207,True,Data Analyst,2016
SYN-9208,False,Product Manager,2015
SYN-9209,False,HR Specialist,2015
SYN-9210,True,Software Engineer,2022
SYN-9211,False,Software Engineer,2016
SYN-9212,False,Data Analyst,2021
SYN-9213,True,Marketing Manager,2021
SYN-9214,False,Software Engineer,2019
SYN-9215,False,Software Engineer,2020
SYN-9216,False,Marketing Manager,2020
SYN-9217,False,Data Analyst,2021
SYN-9218,True,Marketing Manager,2015
SYN-9219,False,Software Engineer,2019
SYN-9220,False,Software Engineer,2017
SYN-9221,True,Product Manager,2017
SYN-9222,False,Marketing Manager,2017
SYN-9223,False,Data Analyst,2017
SYN-9224,False,Marketing Manager,2016
SYN-9225,True,Product Manager,2022
SYN-9226,True,Software Engineer,2016
SYN-9227,True,Marketing Manager,2023
SYN-9228,False,Software Engineer,2019
SYN-9229,False,Software Engineer,2016
SYN-9230,False,Marketing Manager,2016
SYN-9231,False,Software Engineer,2016
SYN-9232,False,Software Engineer,2022
SYN-9233,False,Data Analyst,2016
SYN-9234,False,Data Analyst,2016
SYN-9235,False,Data Analyst,2017
SYN-9236,True,Software Engineer,2017
SYN-9237,True,Product Manager,2016
SYN-9238,False,Software Engineer,2018
SYN-9239,False,Software Engineer,2023
SYN-9240,True,Software Engineer,2020
SYN-9241,False,Data Analyst,2019
SYN-9242,False,Product Manager,2021
SYN-9243,False,Marketing Manager,2016
SYN-9244,False,Product Manager,2018
SYN-9245,True,Marketing Manager,2019
